wTitle,Date,Rating,Genre,Director,IMDB
Knives Out,7/30/2020,4,Crime,Rian Johnson,https://www.imdb.com/title/tt8946378/
Official Secrets,8/9/2020,3,Biography,Gavin Hood,https://www.imdb.com/title/tt5431890/
The Speed Cubers,8/12/2020,3,Documentary,Sue Kim,https://www.imdb.com/title/tt12038300/
Maddman: The Steve Madden Story,8/15/2020,2,Documentary,Ben Patterson,https://www.imdb.com/title/tt2987718/
United Nation Three Decades of Drum & Bass,8/19/2020,2,Documentary,"Terry Stone, Richard Turner",https://www.imdb.com/title/tt6824530/
Ocean's Eight,8/21/2020,2,Action,Gary Ross,https://www.imdb.com/title/tt5164214/
John Was Trying to Contact Aliens,8/23/2020,2,Documentary,Matthew Killip,https://www.imdb.com/title/tt11733790/
The Peanut Butter Falcon,8/25/2020,4,Drama,"Tyler Nilson, Michael Schwartz",https://www.imdb.com/title/tt4364194/
Venom,8/26/2020,3,Action,Ruben Fleischer,https://www.imdb.com/title/tt1270797/
Get Duked!,8/28/2020,3,Comedy,Ninian Doff,https://www.imdb.com/title/tt9735758/
A Street Cat Named Bob,8/29/2020,2,Biography,Roger Spottiswoode,https://www.imdb.com/title/tt3606888/
Radioactive,8/29/2020,2,Biography,Marjane Satrapi,https://www.imdb.com/title/tt6017756/
Team Foxcatcher,8/30/2020,3,Documentary,Jon Greenhalgh,https://www.imdb.com/title/tt5598216/
